country,iso3c,year,reserves,gdp_real,growth,inflation,current_account,openness,exports,credit,int_rate,ner,vix,fed_rate,tot_index,expo_fob,der_expo_pesos,tax_rate_eff,d_ln_ner,d_ln_res,d_int_rate,std_ner,std_res,std_int,empi_robust,empi,fiscal_primario,fiscal_financiero,brecha_anual,...1,dexmedia,z_ner,z_res,z_int,exceso_brecha,z_brecha,p_ner,p_res,p_int,exceso_bruto,z_bre,exceso,imputed_int,imputed_ner,imputed_res,ln_rentabilidad,ln_gdp,post2011,ARG,stress_ca,stress_high,L1_rent,L2_rent,L3_rent,empi_l1
Argentina,ARG,1995,15979453701.6387,348389357874.283,-2.84520961057079,1.6,-2.07460616122982,19.7714230903755,9.68041025959015,19.9606075608912,6.25,0.99975,12.3887698412698,5.83666666666667,41.3692817688,20963,0.0,0.0,-8.75257107334057e-05,0.210279764491894,0.0800000000000001,,,-0.351989499412652,0.0,0.0,-0.408224910549031,-2.07460616122982,1.0,dexmedia,0.0016350629725764,0.0,0.0,0.0,0.0,-0.549081372870356,,,,0.0,0.0,0.0,1,1,1,3.7209022180154485,26.576586535747214,0.0,1.0,2.07460616122982,0.0,,,,
Argentina,ARG,1996,19719017351.0623,367643757074.802,5.52668982715234,0.1,-2.81061043187092,21.5064684057215,10.4285967560139,20.1870018252819,6.33,0.9996625,16.4421653543307,5.29833333333333,41.1223449707,23809,0.0,0.0,-8.75257107334057e-05,0.210279764491894,0.0800000000000001,-0.120560664645809,3.80749451180589,-0.346220268446931,0.369994463228641,0.369994463228641,-0.965789193788126,-2.81061043187092,1.0,dexmedia,0.0024374139827109,-0.339791157194132,0.737391040995455,0.0276054205726814,0.0,-0.549081372870356,-0.000170616129279,0.958830189200429,0.0087251119057681,0.0,0.0,0.0,0,0,0,3.714111257706577,26.630380254823777,0.0,1.0,2.81061043187092,0.0,3.7209022180154485,,,0.0
Argentina,ARG,1997,22424600096.7817,397463514160.866,8.1110467707457,0.3,-1.83762135499995,23.3361788437439,10.5608501019262,21.9334587634322,6.91,0.9995,22.363984063745,5.46,41.4250221252,26431,6.47,0.0244910772135339,-0.0001625680757395,0.128575057001321,0.58,-0.121653661993837,2.32435191469354,-0.304393343945454,-0.0907611859709054,-0.0907611859709054,0.252194010410276,-1.83762135499995,1.0,dexmedia,0.0046254000695773,-0.340338656129066,0.334530707825863,0.0849532376677029,0.0,-0.549081372870356,-0.0003168981502077,0.586274416508513,0.063257061316819,0.0,0.0,0.0,0,0,0,3.7192489670819735,26.708368978553445,0.0,1.0,1.83762135499995,0.0,3.714111257706577,3.7209022180154485,,0.369994463228641
Argentina,ARG,1998,24855741222.2541,412766570325.764,3.85017885156228,0.7,-1.82743435902943,23.3500279730689,10.4155819610919,24.1532987732827,6.68,0.9995,25.6029761904762,5.35333333333333,34.7722320557,26432,27.87,0.105493121863595,0.0,0.10293018609249,-0.23,-0.119285846450776,1.85883405641438,-0.320979882971902,-0.123118477364032,-0.123118477364032,0.521270094315026,-1.82743435902943,1.0,dexmedia,0.0056953064876957,-0.339152581458921,0.208083878068657,-0.0079502260262318,0.0,-0.549081372870356,0.0,0.469339358658555,-0.0250846967290834,0.0,0.0,0.0,0,0,0,3.5431075522428244,26.74614806509651,0.0,1.0,1.82743435902943,0.0,3.7192489670819735,3.714111257706577,3.7209022180154485,-0.0907611859709054
Argentina,ARG,1999,26350163486.3723,398792535409.293,-3.38545704063269,-1.8,-3.7050861235611,21.3827449624898,9.82717451494235,24.8933437498898,7.63,0.9995,24.3729761904762,4.97,35.7158546448,23309,25.08,0.107651749423556,0.0,0.0583857184256225,0.95,-0.119285846450776,1.05024175504606,-0.252470265253966,-0.478094150142441,-0.478094150142441,-0.659310692426833,-3.7050861235611,1.0,dexmedia,0.005690853954391,-0.339152581458921,-0.0115509463655018,0.127390622318019,0.0,-0.549081372870356,0.0,0.266226232371497,0.103610703880997,0.0,0.0,0.0,0,0,0,3.569887589334949,26.71170715722926,0.0,1.0,3.7050861235611,0.0,3.5431075522428244,3.7192489670819735,3.714111257706577,-0.123118477364032
Argentina,ARG,2000,25152117244.4133,395646066535.875,-0.78899893905691,-0.7,-3.41675118250397,22.6224447777343,10.9863752325576,23.8947336198062,21.97,0.9995,23.315,6.23583333333333,41.3445854187,26340,32.07,0.121814893779464,0.0,-0.0465324017135913,14.34,-0.119285846450776,-0.854281716938464,0.781664385351501,-2.53118709541472,-2.53118709541472,0.211194120221791,-3.41675118250397,1.0,dexmedia,0.0052177511415525,-0.339152581458921,-0.528869349833107,1.66316516412269,0.0,-0.549081372870356,0.0,-0.212177675045442,1.56397630910894,0.0,0.0,0.0,0,0,0,3.7167100566193367,26.703785877175054,0.0,1.0,3.41675118250397,0.0,3.569887589334949,3.5431075522428244,3.7192489670819735,-0.478094150142441
Argentina,ARG,2001,14555552759.6102,378202665751.853,-4.40883968258557,-1.5,-5.36414634431815,21.8522554515453,11.5790080825317,20.833574652466,28.11,0.9995,25.7496774193548,3.8875,39.6958007813,26541,52.35,0.197340673275487,0.0,-0.546969523893871,6.14,-0.119285846450776,-9.93845368056201,1.22445286197058,-4.05818167161389,-4.05818167161389,-1.25164810865493,-5.36414634431815,1.0,dexmedia,0.0045023661971831,-0.339152581458921,-2.99636812639063,0.722660963764342,0.0,-0.549081372870356,0.0,-2.49406258062576,0.669652338767704,0.0,0.0,0.0,0,0,0,3.6767328759540105,26.65869604167013,0.0,1.0,5.36414634431815,1.0,3.7167100566193367,3.569887589334949,3.5431075522428244,-2.53118709541472
Argentina,ARG,2002,10492424818.7374,336999433710.193,-10.8944848285903,41.0,-1.91014990213182,41.7527243585642,28.3825969991682,15.3318584042485,43.38,3.06325666666667,27.2924603174603,1.66666666666667,41.0240325928,25650,5021.54,6.39096103474886,1.1199787452245,-0.327319002815404,15.27,16.193934090036,-5.95125325729372,2.32565482255255,4.14888842997733,4.14888842997733,0.234949393833249,-1.91014990213182,0.990338309218128,dexmedia,0.102242716749534,7.83206070730493,-1.91334017340817,1.76983210391943,0.0,-0.582376947127995,2.18320350424884,-1.49250377066352,1.66540573501349,0.0,0.0,0.0,0,0,0,3.616011190398529,26.543347086912178,0.0,1.0,1.91014990213182,0.0,3.6767328759540105,3.7167100566193367,3.569887589334949,-4.05818167161389
Argentina,ARG,2003,14157284136.3644,366780211148.674,8.83704079576924,3.7,1.50014608070146,40.6447480311085,25.9309429264224,10.7627059172487,3.94,2.90062916666667,21.9828571428571,1.1275,43.7183914185,29940,9211.9,10.6073087263457,-0.0545509526985219,0.299575720628919,-39.44,-0.91387716525172,5.42843705433914,-0.518576043547842,4.94569854067671,4.94569854067671,3.22637389628165,1.50014608070146,0.99400941704491,dexmedia,0.190221202610317,-0.737148946573457,1.17768144463235,-4.50516604261782,0.0,-0.56972578223212,-0.106337581493703,1.36600041180641,-4.30148016954369,0.0,0.0,0.0,0,0,0,3.5727833100533846,26.628028625897016,0.0,1.0,1.50014608070146,0.0,3.616011190398529,3.6767328759540105,3.7167100566193367,4.14888842997733
Argentina,ARG,2004,19659591803.9788,399898899166.738,9.02957330068152,6.1,3.96689502983894,40.692646108947,23.8476194239892,9.68251819633223,1.93,2.92330081890332,15.4786561264822,1.34916666666667,50.9528236389,34576,10271.98,10.162625161945,0.0077857277878419,0.328336080144773,-2.01,-0.0058787193512037,5.95050873926809,-0.663527971561579,1.24924926257696,1.24924926257696,5.21948073122351,3.96689502983894,0.996235556757017,dexmedia,0.192040756231754,-0.282348965645694,1.31948977333815,-0.212108454884508,0.0,-0.562054185017333,0.0151769203317665,1.49714142303348,-0.219218436632424,0.0,0.0,0.0,0,0,0,3.7214280619125906,26.714477600024047,0.0,1.0,3.96689502983894,0.0,3.5727833100533846,3.616011190398529,3.6767328759540105,4.94569854067671
