variable,R2_auxiliar,VIF
L1_rent,0.05640786097439188,1.059779918294615
L1rent_x_post,0.07487331131070518,1.08093303568702
L1rent_x_stress,0.03446723241729499,1.0356976309603523
ln_gdp,0.06852399794053199,1.0735649633367121
openness,0.03484884077504602,1.0361071324858904
