efecto,coef,sd_ln_rent,sd_empi,efecto_en_EMPI_por_1sd_rent,en_sd_de_EMPI
post2011 x rentabilidad,-1.3932,0.329551970320803,1.6368506898328041,0.45913180505094275,0.28049705932423236
stress x rentabilidad (h=3),0.1145,0.329551970320803,1.6368506898328041,0.03773370060173195,0.023052622231283817
