anio_tratamiento,rmspe_pre,rmspe_post,ratio,tipo,percentil
2005,2.5002245257284574,2.847882876593747,1.1390508521485674,placebo,14.285714285714285
2006,2.4901900884251162,2.922262684046141,1.1735098848997036,placebo,28.57142857142857
2007,2.351158434128229,2.9920880588706784,1.2726016313656445,placebo,42.857142857142854
2008,2.2550872957936696,3.0670978263749853,1.360079422244952,placebo,57.14285714285714
2009,2.227585001283806,3.1880481992634877,1.4311679228519432,placebo,71.42857142857143
2010,2.107518298462587,3.2939411935105904,1.562947850044048,placebo,85.71428571428571
2011,2.0389129257627383,3.3937300838867497,1.6644801457704168,real,100.0
