modelo,variable,coef,se_DK,t,p,N
M7_triple_ARG,L1_rent,-0.09096718752205216,0.4593126142111041,-0.1980507060061774,0.8431436727379098,336
M7_triple_ARG,L1rent_x_post,-0.18154017593856672,0.8855261881852712,-0.2050082519982849,0.8377090016605058,336
M7_triple_ARG,L1rent_x_ARG,-2.1535108800292555,1.8649633356236226,-1.1547202236601322,0.24915236296477627,336
M7_triple_ARG,L1rent_x_ARGpost,0.4421349560059886,0.19858401423264352,2.226437801222118,0.026750347585785095,336
M7_triple_ARG,ln_gdp,-1.9735655737889228,1.187146073728109,-1.6624454373935174,0.09750020768293366,336
M7_triple_ARG,openness,0.03939490100367666,0.027020721542585183,1.4579514814802237,0.14593228161434935,336
M8_panel_sin_ARG,L1_rent,-0.09782930363132242,0.4526447709652269,-0.21612820893238127,0.8290534579645874,308
M8_panel_sin_ARG,L1rent_x_post,0.1663405701783602,0.6459333818569241,0.2575196991679942,0.7969767138380717,308
M8_panel_sin_ARG,ln_gdp,-0.8204497936845279,1.1133385404700848,-0.7369275057505055,0.46181590695555697,308
M8_panel_sin_ARG,openness,0.02611785190268508,0.019325676818400826,1.3514585878729548,0.17769678307510195,308
