modelo,variable,coef,se_DK,t,p,ic_bajo,ic_alto
M1_base,L1_rent,-0.2545699520533944,0.489121556084626,-0.5204635716552832,0.6031322295241865,-1.2132482019792614,0.7041082978724725
M1_base,ln_gdp,-2.565667212884231,0.9376275788278852,-2.736339321515622,0.006590705328613389,-4.403417267386886,-0.7279171583815762
M1_base,openness,0.03644895087318089,0.02703979247418195,1.3479745049072756,0.1787042695169101,-0.016549042376215732,0.0894469441225775
M2_post2011,L1_rent,-0.1070980852049592,0.4814561155757718,-0.22244620379757965,0.8241215269085653,-1.0507520717334717,0.8365559013235534
M2_post2011,L1rent_x_post,-1.3932062676574901,0.7822333918463671,-1.7810621256770893,0.07593819762049048,-2.9263837156763697,0.13997118036138945
M2_post2011,ln_gdp,-2.1592634795664565,1.1058015650150335,-1.9526681349353137,0.05181090032659541,-4.326634546995923,0.008107587863009247
M2_post2011,openness,0.03889563035897339,0.027350408074064633,1.4221224873005336,0.1560543338019702,-0.014711169466193288,0.09250243018414007
M3_stress,L1_rent,-0.226351712336318,0.4675316372435968,-0.4841420222828312,0.6286467514482319,-1.1427137213337677,0.6900102966611317
M3_stress,L1rent_x_stress,0.03113315259718913,0.04855669052933112,0.6411712218810065,0.5219126441914184,-0.06403796084029986,0.12630426603467812
M3_stress,ln_gdp,-2.5245057873162593,0.9747149629994871,-2.589993878361738,0.010077504124752057,-4.4349471147952535,-0.6140644598372647
M3_stress,openness,0.03546387237338288,0.028141752327747446,1.2601870686785879,0.20860461293322707,-0.019693962189002115,0.09062170693576788
M4_completo,L1_rent,-0.08765343349638026,0.46215334912849865,-0.18966309269784998,0.8497049162156878,-0.9934739977882375,0.8181671307954771
M4_completo,L1rent_x_post,-1.3744384959870364,0.7909757349759114,-1.7376493806461633,0.08332692839405853,-2.924750936539823,0.17587394456575
M4_completo,L1rent_x_stress,0.023645056258359626,0.04920925286738452,0.48050020840758123,0.6312315414836644,-0.07280507936171403,0.12009519187843327
M4_completo,ln_gdp,-2.1334767672155373,1.135064614671024,-1.8796082087660564,0.061157136611268426,-4.358203411970744,0.09124987753966973
M4_completo,openness,0.038114522346726985,0.028552086031403606,1.334912002744946,0.1829449935161036,-0.017847566274824082,0.09407661096827805
M5_dinamico,empi_l1,-0.20493878554020073,0.09374907345092894,-2.1860353174313962,0.02960696003023311,-0.38868696950402143,-0.02119060157638003
M5_dinamico,L1_rent,-0.1697798406970787,0.5042363417761294,-0.33670687062944277,0.7365797450993046,-1.1580830705782923,0.818523389184135
M5_dinamico,L1rent_x_post,-1.583754821330924,0.8708272544805297,-1.8186785188248082,0.06998479189872442,-3.2905762401127623,0.12306659745091397
M5_dinamico,ln_gdp,-2.3340202035835462,1.1800068876527283,-1.9779716779673915,0.04887177506493412,-4.646833703382894,-0.021206703784198755
M5_dinamico,openness,0.04417742239482617,0.030442929094913716,1.4511554475291,0.1478100271938918,-0.015490718631204707,0.10384556342085705
M6_ca,L1_rent,-0.2531676493772228,0.4391060842748789,-0.5765523604513316,0.5646860536072653,-1.1138155745559855,0.6074802758015398
M6_ca,L1rent_x_ca,-0.011829863306048754,0.10872093205939878,-0.10880943606687998,0.913428373018867,-0.22492289014247038,0.20126316353037285
M6_ca,current_account,0.031582792149904906,0.4974053455849069,0.06349507987849667,0.9494157202454478,-0.9433316851965126,1.0064972694963223
M6_ca,ln_gdp,-2.5485925864480428,1.0654758473354569,-2.3919759352795897,0.01739042587828865,-4.636925247225538,-0.4602599256705475
M6_ca,openness,0.03781133683681648,0.023794554167517856,1.5890752384187576,0.11312553176625006,-0.00882598933151852,0.08444866300515147
