rezago,variable,coef,se_DK,t,p,ic_bajo,ic_alto
L1_rent,LX,-0.1070980852049592,0.4814561155757718,-0.22244620379757965,0.8241215269085653,-1.0507520717334717,0.8365559013235534
L1_rent,LX_post,-1.3932062676574901,0.7822333918463671,-1.7810621256770893,0.07593819762049048,-2.9263837156763697,0.13997118036138945
L1_rent,ln_gdp,-2.1592634795664565,1.1058015650150335,-1.9526681349353137,0.05181090032659541,-4.326634546995923,0.008107587863009247
L1_rent,openness,0.03889563035897339,0.027350408074064633,1.4221224873005336,0.1560543338019702,-0.014711169466193288,0.09250243018414007
L2_rent,LX,0.0047929236854558355,0.3714632967865436,0.01290281900504971,0.98971444900647,-0.7232751380161696,0.7328609853870812
L2_rent,LX_post,-1.4993243651597332,0.8457713657065951,-1.7727301088127179,0.07735293353777051,-3.1570362419446596,0.15838751162519316
L2_rent,ln_gdp,-2.185084894182626,1.216780797056749,-1.7957917313193072,0.07359807169425991,-4.569975256413854,0.1998054680486021
L2_rent,openness,0.042404613116368714,0.029282369233386552,1.4481278061346456,0.14869219957693058,-0.01498883058106893,0.09979805681380635
L3_rent,LX,0.36569390449563655,0.48949974983964745,0.7470767954742208,0.4556648900182918,-0.5937256051900724,1.3251134141813457
L3_rent,LX_post,-1.5036530068625191,0.9028595318998986,-1.66543405007683,0.09698173345181527,-3.2732576893863206,0.2659516756612821
L3_rent,ln_gdp,-2.40317180618201,1.2733944144951057,-1.8872171723282256,0.06019976338906319,-4.899024858592417,0.09268124622839702
L3_rent,openness,0.05932229407617825,0.028442322067334123,2.0857050256212952,0.037940778336411185,0.0035753428242033675,0.11506924532815313
