year,ARG_real,sintetico,gap
2003,4.94569854067671,4.92029641836902,0.0254021223076899
2004,1.24924926257696,1.3255045162602523,-0.07625525368329233
2005,0.807546104085073,-0.7234815549031219,1.531027658988195
2006,-0.0052290677749923,1.0027969734011752,-1.0080260411761675
2007,0.711953631758023,0.6023766461352149,0.10957698562280804
2008,-0.28214404938915,-0.6930083507262279,0.4108643013370779
2009,0.736028463134577,0.7360391339490997,-1.0670814522661942e-05
2010,0.190665091383117,-0.3742763758134239,0.5649414671965409
2011,-2.27369276725581,0.13872744144639698,-2.412420208702207
2012,-0.741880575164343,0.03534989535134808,-0.7772304705156912
2013,-1.37587748437487,-0.15268750217763416,-1.2231899821972358
2014,6.93812955392935,-0.06415682384862254,7.002286377777973
2015,-0.734244841812789,0.049463640606317576,-0.7837084824191066
2016,5.4338742959009,-0.37910384966002547,5.812978145560925
2017,1.12647718029255,-0.39834090069895084,1.5248180809915008
2018,3.61455071690576,-0.5086854319037756,4.123236148809536
2019,0.490371742581635,0.049774168019365184,0.44059757456226983
2020,3.75150123985378,0.5723930667071842,3.179108173146596
2021,2.03025172655265,0.5815648162104653,1.4486869103421847
2022,2.03356642256856,-2.0243817866685734,4.057948209237134
2023,2.90115388648221,-0.8532119551762305,3.7543658416584407
