,peso
PER,0.447000550160049
URY,0.4032635159369844
NZL,0.1497359339029661
CAN,1.5926234353121536e-16
BRA,1.518577538180033e-16
AUS,4.26306472799299e-17
CHL,3.55017760959179e-17
NOR,1.6696900649134062e-17
COL,5.696470871587089e-19
PRY,0.0
ZAF,0.0
