modelo,variable,coef,se_DK,t,p,N
O1_stress_con_efecto_principal,L1_rent,-0.15852251178021937,0.42135172085689254,-0.37622371983633074,0.7070237892495288,336
O1_stress_con_efecto_principal,stress_high,7.6443748925738815,4.874233710697136,1.5683234219560118,0.11788866500706141,336
O1_stress_con_efecto_principal,L1rent_x_stress,-1.7040719679380625,1.085367534819176,-1.5700414037369965,0.11748842883934518,336
O1_stress_con_efecto_principal,ln_gdp,-2.4644530386929646,1.1631459086477647,-2.1187823645943586,0.034953053871557005,336
O1_stress_con_efecto_principal,openness,0.039904443577716144,0.028461038474695406,1.4020726479532721,0.1619556976237504,336
O1b_sin_efecto_principal,L1_rent,-0.226351712336318,0.4675316372435968,-0.4841420222828312,0.6286467514482319,336
O1b_sin_efecto_principal,L1rent_x_stress,0.03113315259718913,0.04855669052933112,0.6411712218810065,0.5219126441914184,336
O1b_sin_efecto_principal,ln_gdp,-2.5245057873162593,0.9747149629994871,-2.589993878361738,0.010077504124752057,336
O1b_sin_efecto_principal,openness,0.03546387237338288,0.028141752327747446,1.2601870686785879,0.20860461293322707,336
O2_triple_cuenta_corriente,L1_rent,-0.2201337586246669,0.4091539147149847,-0.5380218805385533,0.5909760319925863,336
O2_triple_cuenta_corriente,current_account,0.9441290077895186,0.6702068125951642,1.408712937628427,0.15999502548265854,336
O2_triple_cuenta_corriente,ln_gdp,-2.2139148881006347,1.2894376423584333,-1.7169615771812705,0.08705757436435335,336
O2_triple_cuenta_corriente,openness,0.032535834236065445,0.02401810833347618,1.354637666893914,0.1765910854827395,336
O2_triple_cuenta_corriente,L1rent_x_post,-0.5364090788793612,0.8241262886485156,-0.6508821357452609,0.5156397308435907,336
O2_triple_cuenta_corriente,L1rent_x_ca,-0.21733017672234844,0.15047513550118985,-1.4442929457978788,0.14973983470208796,336
O2_triple_cuenta_corriente,post_x_ca,-1.8134825998755488,0.8797707730336934,-2.061312623084941,0.0401675169925797,336
O2_triple_cuenta_corriente,L1rent_x_post_x_ca,0.4004985301318742,0.19574101575406752,2.046063409801999,0.0416549927494585,336
