modelo,variable,coef,se_DK,t,p,ic_bajo,ic_alto
M1_base,L1_rent,-0.6477198435743144,0.6350218705960844,-1.0199961191357247,0.3085688961640485,-1.8923627099426397,0.5969230227940109
M1_base,ln_gdp,-4.47355215836114,1.064339331381494,-4.203125851371618,3.4964904536582964e-05,-6.559657247868868,-2.3874470688534117
M1_base,openness,0.025067730431540865,0.033957393644025446,0.7382112624521566,0.46097492599304024,-0.041488761110749006,0.09162422197383074
M2_post2011,L1_rent,-0.13285147865756453,0.5273560756588374,-0.2519198787870042,0.8012796065084142,-1.1664693869488858,0.9007664296337567
M2_post2011,L1rent_x_post,-4.864099494704205,1.3919004885130273,-3.494574170241539,0.0005482126832743184,-7.592224452189738,-2.135974537218672
M2_post2011,ln_gdp,-3.0546752556605004,0.9735715899440827,-3.137596954565967,0.0018768081667976944,-4.962875571950902,-1.1464749393700984
M2_post2011,openness,0.03360981980252587,0.03155805927259924,1.0650154216456555,0.28774580871632405,-0.02824397637176864,0.09546361597682038
M3_stress,L1_rent,-0.5883603413436974,0.6233045690939496,-0.9439371545101171,0.345979465743655,-1.8100372967678386,0.6333166140804437
M3_stress,L1rent_x_stress,0.0654912730052748,0.06480103946255554,1.0106515813394954,0.31301708886987023,-0.06151876434133405,0.19250131035188364
M3_stress,ln_gdp,-4.386965547810094,1.0778093231653303,-4.070261273048161,6.045825584433118e-05,-6.499471821214142,-2.274459274406047
M3_stress,openness,0.022995532803610254,0.03520109895462455,0.6532617868905826,0.5140998088730762,-0.045998621147453865,0.09198968675467437
M4_completo,L1_rent,-0.10064764997990654,0.5186722346579139,-0.1940486558843619,0.8462727089910524,-1.1172452299094178,0.9159499299496048
M4_completo,L1rent_x_post,-4.8330167007002895,1.3913169470522566,-3.4736992968711147,0.000591109281492086,-7.559997916922713,-2.1060354844778666
M4_completo,L1rent_x_stress,0.03916045153332006,0.06079448611854392,0.6441447906469776,0.5199871952815633,-0.07999674125902603,0.15831764432566614
M4_completo,ln_gdp,-3.011967837746626,0.9838241838720477,-3.0614899360294143,0.002407364458579808,-4.94026323813584,-1.0836724373574127
M4_completo,openness,0.03231616492086123,0.0329883430754662,0.9796237673087352,0.32808279731489653,-0.03234098750705253,0.09697331734877498
M5_dinamico,empi_l1,-0.17492322805501817,0.11030206965562915,-1.585856263632594,0.11385422807270085,-0.3911152845800513,0.04126882847001495
M5_dinamico,L1_rent,-0.18635279604807686,0.5595216193867819,-0.3330573647043588,0.739329988841027,-1.2830151700461694,0.9103095779500157
M5_dinamico,L1rent_x_post,-5.026740099906963,1.3915319308278753,-3.6123785509660307,0.000357087801748035,-7.754142684329599,-2.299337515484327
M5_dinamico,ln_gdp,-3.2038369197584404,1.048589909157888,-3.0553764553498417,0.0024554121255222494,-5.259073141707901,-1.14860069780898
M5_dinamico,openness,0.03811803483069274,0.034332795756404515,1.1102514080456765,0.2678041426498359,-0.029174244851860105,0.10541031451324559
M6_ca,L1_rent,-0.5138505752423205,0.5356480368892741,-0.9593063725696815,0.33819806164766253,-1.5637207275452978,0.5360195770606567
M6_ca,L1rent_x_ca,0.15942253407128804,0.15958114892093528,0.9990060552219371,0.3186188920901547,-0.1533565178137451,0.47220158595632117
M6_ca,current_account,-0.744546682104455,0.7311454151209467,-1.0183291404231694,0.3093645461140049,-2.1775916957415102,0.6884983315326004
M6_ca,ln_gdp,-3.981156137805603,1.1693826281936959,-3.404493996935079,0.0007556705686286858,-6.273146089065246,-1.6891661865459588
M6_ca,openness,0.034613639221854516,0.028836129533016713,1.2003566283825533,0.23097377237042394,-0.02190517466285824,0.09113245310656727
