year,ARG_real,control_sintetico,gap
1995,0.0,0.0,0.0
1996,0.369994463228641,1.0015566031805645,-0.6315621399519236
1997,-0.0907611859709054,0.2520754371709932,-0.34283662314189856
1998,-0.123118477364032,-0.8650387759038676,0.7419202985398355
1999,-0.478094150142441,-0.44054239575230236,-0.037551754390138636
2000,-2.53118709541472,0.5144797047720174,-3.0456668001867375
2001,-4.05818167161389,-0.43593931356004645,-3.6222423580538434
2002,4.14888842997733,-0.774728278783297,4.923616708760626
2003,4.94569854067671,1.1447074871133314,3.8009910535633784
2004,1.24924926257696,0.6338146069900732,0.6154346555868868
2005,0.807546104085073,-0.87538291106019,1.682929015145263
2006,-0.0052290677749923,0.8525350506904741,-0.8577641184654664
2007,0.711953631758023,0.5395187173465583,0.17243491441146463
2008,-0.28214404938915,-0.59167879739024,0.30953474800109
2009,0.736028463134577,0.3339172816306948,0.40211118150388225
2010,0.190665091383117,0.5458024990033804,-0.3551374076202634
2011,-2.27369276725581,-0.058479556067716945,-2.215213211188093
2012,-0.741880575164343,-0.29033624071665254,-0.4515443344476905
2013,-1.37587748437487,-0.14937549729705393,-1.226501987077816
2014,6.93812955392935,0.001525695801118214,6.936603858128232
2015,-0.734244841812789,0.23587772223685707,-0.9701225640496461
2016,5.4338742959009,-0.24238822795302598,5.676262523853926
2017,1.12647718029255,-0.6681842529812123,1.7946614332737623
2018,3.61455071690576,-0.6652355007925583,4.279786217698319
2019,0.490371742581635,0.10807140445686818,0.3823003381247668
2020,3.75150123985378,0.6274150399685958,3.124086199885184
2021,2.03025172655265,1.0419869707064335,0.9882647558462163
2022,2.03356642256856,-1.771108324659728,3.804674747228288
2023,2.90115388648221,-0.9637716435582949,3.864925530040505
