,peso
PER,0.7890129820325951
COL,0.11064558003339355
URY,0.10034143793401037
PRY,5.381384005152102e-16
CHL,1.6464407242904167e-16
BRA,1.067854048041773e-16
CAN,1.0039807292687907e-16
ZAF,7.982394930794315e-17
AUS,0.0
NZL,0.0
NOR,0.0
