bloque,variable,coef,se_DK,t,p,N
A_crecimiento_a_presion,growth_l1,-0.10133677086294005,0.13139579261507747,-0.7712329964765691,0.4411946087818919,336
A_crecimiento_a_presion,gl1_x_post,0.13443149705963797,0.14694697571561563,0.9148299677824014,0.3610383125754404,336
A_crecimiento_a_presion,gl1_x_ARG,-0.012445226230521418,0.09337419912942699,-0.13328335178833453,0.8940614154138697,336
A_crecimiento_a_presion,gl1_x_ARGpost,0.0761990686330413,0.17013468356545716,0.44787498372561213,0.6545766657466678,336
A_crecimiento_a_presion,ln_gdp,-2.656096880667573,0.8987582543533188,-2.955296229884094,0.0033791365431437015,336
A_crecimiento_a_presion,openness,0.04044727531783463,0.029406640277199598,1.3754470057293615,0.1700507592135574,336
B_presion_a_contraccion,empi_l1_sg,0.15978037243347265,0.044255003102614224,3.610447660866487,0.0003598368658341844,336
B_presion_a_contraccion,el1_x_post,-0.19223306506377322,0.1370247548644246,-1.4029075640673319,0.161710424409361,336
B_presion_a_contraccion,el1_x_ARG,1.7982836968966822,0.23978318840019472,7.4996237596748125,7.789324740770098e-13,336
B_presion_a_contraccion,el1_x_ARGpost,-1.2023391144740445,0.34060971947213753,-3.5299612598764902,0.00048295566294620507,336
B_presion_a_contraccion,ln_gdp,5.610439901034993,1.8035826513356308,3.110719598505907,0.002051505083996874,336
B_presion_a_contraccion,openness,0.04536337511778754,0.0386232477128132,1.1745095973050013,0.24115119815505648,336
