posicion_externa,current_account,efecto_pre2011,efecto_post2011,diferencia
déficit alto (p10),-4.861,0.8364168936893365,-1.647015786069093,-2.4834326797584296
déficit moderado (p25),-3.234,0.4826111423192896,-1.348824260701381,-1.8314354030206705
equilibrio (mediana),-1.481,0.10164150808444788,-1.0277387048239977,-1.1293802129084456
superávit moderado (p75),0.755,-0.38419690327875766,-0.6182685466775373,-0.23407164339877962
superávit alto (p90),3.763,-1.0379535252679033,-0.06727500410424891,0.9706785211636544
